id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
0,,,,,,Sol,0,0,0,0,0,0,-26.7,4.85,G2V,0.656,0.000005,0,0,0,0,0,0,0,0,0,,,,1,0,,1,,,
1,1,36486,1852,,34Del Ori,Mintaka,5.533445,-0.299092,212.3142,1.67,0.56,16,2.25,-4.385,O9.5II,-0.175,25.868117,210.729667,-1.108306,0.00000029,0.00001645,0.00000049,1.448652417,-0.00522014,8.10E-09,2.71E-09,Del,34,Ori,1,25865,,4943.10687,Del,2.334,2.234
2,2,37128,1903,,46Eps Ori,Alnilam,5.603559,-1.20192,606.0606,1.49,-1.06,26,1.69,-7.223,B0Ia,-0.184,62.775122,602.66691,-12.712683,-0.00000161,0.00002683,-0.00000367,1.467008387,-0.020977458,7.22E-09,-5.14E-09,Eps,46,Ori,1,26246,,67483.87309,Eps,1.717,1.667
3,3,37742,1948,,50Zet Ori,Alnitak,5.679313,-1.942572,225.7336,3.99,2.54,18,1.74,-5.028,O9.5Ib SB,-0.199,18.918488,224.809409,-7.651875,-0.0000028,0.00001879,0.00000215,1.486840687,-0.033904281,1.93E-08,1.23E-08,Zet,50,Ori,1,26662,,8937.169609,,,
4,4,33111,1666,Wo 9175,67Bet Eri,Cursa,5.130829,-5.086446,27.3973,-83.39,-75.44,-9.2,2.78,0.591,A3IIIvar,0.161,6.156194,26.585876,-2.429001,0.00000848,-0.00001249,-0.00000915,1.343247953,-0.088775232,-4.04E-07,-3.66E-07,Bet,67,Eri,1,23820,,50.53589948,,,
5,5,34085,1713,,19Bet Ori,Rigel,5.242298,-8.20164,264.5503,1.87,-0.56,21,0.18,-6.933,B8Ia,-0.03,51.601106,256.709905,-37.740051,0.00000182,0.00002121,-0.00000377,1.372430369,-0.143145631,9.07E-09,-2.71E-09,Bet,19,Ori,1,24378,,51665.42426,,,
6,6,38771,2004,,53Kap Ori,Saiph,5.795941,-9.669605,198.4127,1.55,-1.2,21,2.07,-4.418,B0.5Iavar,-0.168,10.444137,195.314937,-33.326707,-0.00000037,0.00002103,-0.00000475,1.517373893,-0.16876644,7.51E-09,-5.82E-09,Kap,53,Ori,1,27298,,5095.654806,,,
7,7,25025,1231,,34Gam Eri,Zaurak,3.967157,-13.508515,62.3441,60.51,-111.34,62,2.97,-1.004,M1IIIb Ca-1,1.588,30.760217,52.235828,-14.56308,0.00001154,0.00005563,-0.00004753,1.038599284,-0.235768069,2.93E-07,-5.40E-07,Gam,34,Eri,1,18497,,219.5836501,Gam,3,2.95
8,8,35468,1790,,24Gam Ori,Bellatrix,5.418851,6.349702,77.3994,-8.75,-13.28,18,1.64,-2.804,B2III,-0.224,11.658576,76.036136,8.56012,0.0000061,0.00001813,-0.00000292,1.418651834,0.11082321,-4.24E-08,-6.44E-08,Gam,24,Ori,1,25273,,1152.391377,,,
9,9,39801,2061,,58Alp Ori,Betelgeuse,5.919529,7.407063,152.6718,27.33,10.86,21,0.45,-5.469,M2Ib,1.5,3.189296,151.364387,19.682142,-0.0000198,0.00002068,0.00001074,1.549729118,0.129277632,1.33E-07,5.27E-08,Alp,58,Ori,1,27919,,13415.28798,Alp,0.571,0.281
10,10,25025,1231,,34Gam Eri,Zaurak,3.967157,-13.508515,62.3441,60.51,-111.34,62,2.97,-1.004,M1IIIb Ca-1,1.588,30.760217,52.235828,-14.56308,0.00001154,0.00005563,-0.00004753,1.038599284,-0.235768069,2.93E-07,-5.40E-07,Gam,34,Eri,1,18497,,219.5836501,Gam,3,2.95
